TIME,CH2,,,Model,MSO4054
-1.73E+00,1.36,,,,
-1.73E+00,1.52,,,,
-1.73E+00,1.6,,,,
-1.73E+00,1.6,,,,
-1.73E+00,1.52,,,,
-1.73E+00,1.68,,,,
-1.73E+00,1.52,,,,
-1.73E+00,1.52,,,,
-1.73E+00,1.52,,,,
-1.73E+00,1.52,,,,
-1.73E+00,1.52,,,,
-1.73E+00,1.6,,,,
-1.73E+00,1.52,,,,
-1.73E+00,1.44,,,,
-1.73E+00,1.84,,,,
-1.73E+00,1.44,,,,
-1.73E+00,1.52,,,,
-1.73E+00,1.36,,,,
-1.73E+00,1.6,,,,
-1.72E+00,1.44,,,,
-1.72E+00,1.6,,,,
-1.72E+00,1.52,,,,
-1.72E+00,1.6,,,,
-1.72E+00,1.6,,,,
-1.72E+00,1.68,,,,
-1.72E+00,1.52,,,,
-1.72E+00,1.6,,,,
-1.72E+00,1.6,,,,
-1.72E+00,1.68,,,,
-1.72E+00,1.6,,,,
-1.72E+00,1.52,,,,
-1.72E+00,1.52,,,,
-1.72E+00,1.52,,,,
-1.72E+00,1.68,,,,
-1.72E+00,1.52,,,,
-1.72E+00,1.6,,,,
-1.72E+00,1.68,,,,
-1.72E+00,1.6,,,,
-1.72E+00,1.44,,,,
-1.72E+00,1.52,,,,
-1.72E+00,1.6,,,,
-1.72E+00,1.6,,,,
-1.72E+00,1.6,,,,
-1.72E+00,1.36,,,,
-1.71E+00,1.6,,,,
-1.71E+00,1.6,,,,
-1.71E+00,1.6,,,,
-1.71E+00,1.52,,,,
-1.71E+00,1.36,,,,
-1.71E+00,1.44,,,,
-1.71E+00,1.6,,,,
-1.71E+00,1.44,,,,
-1.71E+00,1.52,,,,
-1.71E+00,1.44,,,,
-1.71E+00,1.52,,,,
-1.71E+00,1.44,,,,
-1.71E+00,1.36,,,,
-1.71E+00,1.6,,,,
-1.71E+00,1.44,,,,
-1.71E+00,1.52,,,,
-1.71E+00,1.6,,,,
-1.71E+00,1.6,,,,
-1.71E+00,1.52,,,,
-1.71E+00,1.76,,,,
-1.71E+00,1.36,,,,
-1.71E+00,1.52,,,,
-1.71E+00,1.44,,,,
-1.71E+00,1.52,,,,
-1.71E+00,1.36,,,,
-1.70E+00,1.52,,,,
-1.70E+00,1.52,,,,
-1.70E+00,1.6,,,,
-1.70E+00,1.52,,,,
-1.70E+00,1.6,,,,
-1.70E+00,1.44,,,,
-1.70E+00,1.6,,,,
-1.70E+00,1.6,,,,
-1.70E+00,1.6,,,,
-1.70E+00,1.52,,,,
-1.70E+00,1.68,,,,
-1.70E+00,1.52,,,,
-1.70E+00,1.6,,,,
-1.70E+00,1.44,,,,
-1.70E+00,1.52,,,,
-1.70E+00,1.44,,,,
-1.70E+00,1.44,,,,
-1.70E+00,1.6,,,,
-1.70E+00,1.36,,,,
-1.70E+00,1.52,,,,
-1.70E+00,1.6,,,,
-1.70E+00,1.52,,,,
-1.70E+00,1.6,,,,
-1.70E+00,1.52,,,,
-1.70E+00,1.52,,,,
-1.69E+00,1.52,,,,
-1.69E+00,1.52,,,,
-1.69E+00,1.6,,,,
-1.69E+00,1.6,,,,
-1.69E+00,1.36,,,,
-1.69E+00,1.44,,,,
-1.69E+00,1.52,,,,
-1.69E+00,1.52,,,,
-1.69E+00,1.52,,,,
-1.69E+00,1.52,,,,
-1.69E+00,1.36,,,,
-1.69E+00,1.6,,,,
-1.69E+00,1.68,,,,
-1.69E+00,1.44,,,,
-1.69E+00,1.44,,,,
-1.69E+00,1.52,,,,
-1.69E+00,1.6,,,,
-1.69E+00,1.6,,,,
-1.69E+00,1.44,,,,
-1.69E+00,1.44,,,,
-1.69E+00,1.52,,,,
-1.69E+00,1.6,,,,
-1.69E+00,1.44,,,,
-1.69E+00,1.52,,,,
-1.69E+00,1.52,,,,
-1.68E+00,1.6,,,,
-1.68E+00,1.52,,,,
-1.68E+00,1.92,,,,
-1.68E+00,1.44,,,,
-1.68E+00,1.52,,,,
-1.68E+00,1.36,,,,
-1.68E+00,1.36,,,,
-1.68E+00,1.44,,,,
-1.68E+00,1.44,,,,
-1.68E+00,1.52,,,,
-1.68E+00,1.6,,,,
-1.68E+00,1.52,,,,
-1.68E+00,1.6,,,,
-1.68E+00,1.6,,,,
-1.68E+00,1.52,,,,
-1.68E+00,1.52,,,,
-1.68E+00,1.44,,,,
-1.68E+00,1.52,,,,
-1.68E+00,1.44,,,,
-1.68E+00,1.52,,,,
-1.68E+00,1.44,,,,
-1.68E+00,1.52,,,,
-1.68E+00,1.6,,,,
-1.68E+00,1.52,,,,
-1.68E+00,1.68,,,,
-1.67E+00,1.6,,,,
-1.67E+00,1.6,,,,
-1.67E+00,1.6,,,,
-1.67E+00,1.44,,,,
-1.67E+00,1.44,,,,
-1.67E+00,1.6,,,,
-1.67E+00,1.44,,,,
-1.67E+00,1.52,,,,
-1.67E+00,1.44,,,,
-1.67E+00,1.6,,,,
-1.67E+00,1.6,,,,
-1.67E+00,1.44,,,,
-1.67E+00,1.44,,,,
-1.67E+00,1.44,,,,
-1.67E+00,1.6,,,,
-1.67E+00,1.52,,,,
-1.67E+00,1.52,,,,
-1.67E+00,1.44,,,,
-1.67E+00,1.52,,,,
-1.67E+00,1.44,,,,
-1.67E+00,1.52,,,,
-1.67E+00,1.52,,,,
-1.67E+00,1.52,,,,
-1.67E+00,1.52,,,,
-1.67E+00,1.52,,,,
-1.66E+00,1.44,,,,
-1.66E+00,1.44,,,,
-1.66E+00,1.6,,,,
-1.66E+00,1.52,,,,
-1.66E+00,1.68,,,,
-1.66E+00,1.52,,,,
-1.66E+00,1.52,,,,
-1.66E+00,1.6,,,,
-1.66E+00,1.52,,,,
-1.66E+00,1.52,,,,
-1.66E+00,1.6,,,,
-1.66E+00,1.6,,,,
-1.66E+00,1.6,,,,
-1.66E+00,1.44,,,,
-1.66E+00,1.68,,,,
-1.66E+00,1.6,,,,
-1.66E+00,1.52,,,,
-1.66E+00,1.52,,,,
-1.66E+00,1.68,,,,
-1.66E+00,1.76,,,,
-1.66E+00,1.6,,,,
-1.66E+00,1.6,,,,
-1.66E+00,1.68,,,,
-1.66E+00,1.6,,,,
